Mã đích đến,Tỉnh Thành,Thành phố,Tên đích đến
255HML03,Quảng Ngãi,Huyện Minh Long,Xã Long Môn-255HML03
255HML04,Quảng Ngãi,Huyện Minh Long,Xã Long Sơn-255HML04
255HNH01,Quảng Ngãi,Huyện Nghĩa Hành,Thị trấn Chợ Chùa-255HNH01
255HNH02,Quảng Ngãi,Huyện Nghĩa Hành,Xã Hành Đức-255HNH02
255HNH03,Quảng Ngãi,Huyện Nghĩa Hành,Xã Hành Dũng-255HNH03
255HNH04,Quảng Ngãi,Huyện Nghĩa Hành,Xã Hành Minh-255HNH04
255HNH05,Quảng Ngãi,Huyện Nghĩa Hành,Xã Hành Nhân-255HNH05
255HNH06,Quảng Ngãi,Huyện Nghĩa Hành,Xã Hành Phước-255HNH06
255HNH08,Quảng Ngãi,Huyện Nghĩa Hành,Xã Hành Thịnh-255HNH08
255HNH10,Quảng Ngãi,Huyện Nghĩa Hành,Xã Hành Tín Đông-255HNH10
255HNH12,Quảng Ngãi,Huyện Nghĩa Hành,Xã Hành Trung-255HNH12
255HSH01,Quảng Ngãi,Huyện Sơn Hà,Thị trấn Di Lăng-255HSH01
255HSH03,Quảng Ngãi,Huyện Sơn Hà,Xã Sơn Bao-255HSH03
255HSH04,Quảng Ngãi,Huyện Sơn Hà,Xã Sơn Cao-255HSH04
255HSH06,Quảng Ngãi,Huyện Sơn Hà,Xã Sơn Hạ-255HSH06
255HSH08,Quảng Ngãi,Huyện Sơn Hà,Xã Sơn Kỳ-255HSH08
255HSH09,Quảng Ngãi,Huyện Sơn Hà,Xã Sơn Linh-255HSH09
255HSH11,Quảng Ngãi,Huyện Sơn Hà,Xã Sơn Thành-255HSH11
255HSH12,Quảng Ngãi,Huyện Sơn Hà,Xã Sơn Thượng-255HSH12
255HST01,Quảng Ngãi,Huyện Sơn Tịnh,Xã Tịnh Bắc-255HST01
255HST02,Quảng Ngãi,Huyện Sơn Tịnh,Xã Tịnh Bình-255HST02
255HST04,Quảng Ngãi,Huyện Sơn Tịnh,Xã Tịnh Giang-255HST04
255HST06,Quảng Ngãi,Huyện Sơn Tịnh,Xã Tịnh Hiệp-255HST06
255HST08,Quảng Ngãi,Huyện Sơn Tịnh,Xã Tịnh Phong-255HST08
255HST10,Quảng Ngãi,Huyện Sơn Tịnh,Xã Tịnh Thọ-255HST10
255HST11,Quảng Ngãi,Huyện Sơn Tịnh,Xã Tịnh Trà-255HST11
255HSY01,Quảng Ngãi,Huyện Sơn Tây,Xã Sơn Bua-255HSY01
255HSY02,Quảng Ngãi,Huyện Sơn Tây,Xã Sơn Dung-255HSY02
255HSY03,Quảng Ngãi,Huyện Sơn Tây,Xã Sơn Lập-255HSY03
255HSY04,Quảng Ngãi,Huyện Sơn Tây,Xã Sơn Liên-255HSY04
255HSY05,Quảng Ngãi,Huyện Sơn Tây,Xã Sơn Long-255HSY05
255HMD05,Quảng Ngãi,Huyện Mộ Đức,Xã Đức Lân-255HMD05
255HSY08,Quảng Ngãi,Huyện Sơn Tây,Xã Sơn Tân-255HSY08
255HSY09,Quảng Ngãi,Huyện Sơn Tây,Xã Sơn Tinh-255HSY09
255HTB02,Quảng Ngãi,Huyện Trà Bồng,Xã Trà Bình-255HTB02
255HTB04,Quảng Ngãi,Huyện Trà Bồng,Xã Trà Giang-255HTB04
255HTB05,Quảng Ngãi,Huyện Trà Bồng,Xã Trà Hiệp-255HTB05
255HTB07,Quảng Ngãi,Huyện Trà Bồng,Xã Trà Phú-255HTB07
255HTB08,Quảng Ngãi,Huyện Trà Bồng,Xã Trà Sơn-255HTB08
255HTB10,Quảng Ngãi,Huyện Trà Bồng,Xã Trà Thủy-255HTB10
255HTN02,Quảng Ngãi,Huyện Tư Nghĩa,Thị trấn Sông Vệ-255HTN02
255HTN04,Quảng Ngãi,Huyện Tư Nghĩa,Xã Nghĩa Hiệp-255HTN04
255HTN05,Quảng Ngãi,Huyện Tư Nghĩa,Xã Nghĩa Hòa-255HTN05
255HTN07,Quảng Ngãi,Huyện Tư Nghĩa,Xã Nghĩa Lâm-255HTN07
255HTN08,Quảng Ngãi,Huyện Tư Nghĩa,Xã Nghĩa Mỹ-255HTN08
255HTN11,Quảng Ngãi,Huyện Tư Nghĩa,Xã Nghĩa Thắng-255HTN11
255HTN12,Quảng Ngãi,Huyện Tư Nghĩa,Xã Nghĩa Thọ-255HTN12
255HTN14,Quảng Ngãi,Huyện Tư Nghĩa,Xã Nghĩa Thương-255HTN14
255HTN15,Quảng Ngãi,Huyện Tư Nghĩa,Xã Nghĩa Trung-255HTN15
255HTT01,Quảng Ngãi,Huyện Tây Trà,Xã Trà Khê-255HTT01
255HTT03,Quảng Ngãi,Huyện Tây Trà,Xã Trà Nham-255HTT03
255HTT04,Quảng Ngãi,Huyện Tây Trà,Xã Trà Phong-255HTT04
255HTT05,Quảng Ngãi,Huyện Tây Trà,Xã Trà Quân-255HTT05
255HTT06,Quảng Ngãi,Huyện Tây Trà,Xã Trà Thanh-255HTT06
255HTT07,Quảng Ngãi,Huyện Tây Trà,Xã Trà Thọ-255HTT07
255HTT08,Quảng Ngãi,Huyện Tây Trà,Xã Trà Trung-255HTT08
255HTT09,Quảng Ngãi,Huyện Tây Trà,Xã Trà Xinh-255HTT09
255TPQ03,Quảng Ngãi,Thành phố Quảng Ngãi,Phường Nghĩa Chánh-255TPQ03
255TPQ06,Quảng Ngãi,Thành phố Quảng Ngãi,Phường Quảng Phú-255TPQ06
255TPQ07,Quảng Ngãi,Thành phố Quảng Ngãi,Phường Trần Hưng Đạo-255TPQ07
293TXN04,Hậu Giang,Thị xã Ngã Bảy,Xã Đại Thành-293TXN04
232HLT17,Quảng Bình,Huyện Lệ Thủy,Xã Ngư Thủy Nam-232HLT17
232HLT18,Quảng Bình,Huyện Lệ Thủy,Xã Ngư Thủy Trung-232HLT18
232HLT20,Quảng Bình,Huyện Lệ Thủy,Xã Phú Thủy-232HLT20
232HLT21,Quảng Bình,Huyện Lệ Thủy,Xã Sen Thủy-232HLT21
232HLT23,Quảng Bình,Huyện Lệ Thủy,Xã Tân Thủy-232HLT23
232HLT24,Quảng Bình,Huyện Lệ Thủy,Xã Thái Thủy-232HLT24
232HLT27,Quảng Bình,Huyện Lệ Thủy,Xã Văn Thủy-232HLT27
232HLT28,Quảng Bình,Huyện Lệ Thủy,Xã Xuân Thủy-232HLT28
232HMH02,Quảng Bình,Huyện Minh Hóa,Xã Dân Hóa-232HMH02
232HMH03,Quảng Bình,Huyện Minh Hóa,Xã Hóa Hợp-232HMH03
232HMH04,Quảng Bình,Huyện Minh Hóa,Xã Hóa Phúc-232HMH04
232HMH07,Quảng Bình,Huyện Minh Hóa,Xã Hóa Tiến-232HMH07
255TPQ19,Quảng Ngãi,Thành phố Quảng Ngãi,Xã Tịnh Hòa-255TPQ19
255TPQ20,Quảng Ngãi,Thành phố Quảng Ngãi,Xã Tịnh Khê-255TPQ20
255TPQ22,Quảng Ngãi,Thành phố Quảng Ngãi,Xã Tịnh Long-255TPQ22
255TPQ23,Quảng Ngãi,Thành phố Quảng Ngãi,Xã Tịnh Thiện-255TPQ23
255HBS01,Quảng Ngãi,Huyện Bình Sơn,Thị trấn Châu Ổ-255HBS01
255HBS02,Quảng Ngãi,Huyện Bình Sơn,Xã Bình An-255HBS02
255HBS03,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Chánh-255HBS03
255HBS04,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Châu-255HBS04
255HBS06,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Đông-255HBS06
255HBS08,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Hải-255HBS08
255HBS09,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Hiệp-255HBS09
255HBS11,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Khương-255HBS11
255HBS12,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Long-255HBS12
255HBS15,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Nguyên-255HBS15
255HBS16,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Phú-255HBS16
255HBS18,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Tân-255HBS18
255HBS19,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Thanh Đông-255HBS19
255HBS22,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Thới-255HBS22
255HBS23,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Thuận-255HBS23
255HBS25,Quảng Ngãi,Huyện Bình Sơn,Xã Bình Trung-255HBS25
255HBT01,Quảng Ngãi,Huyện Ba Tơ,Thị trấn Ba Tơ-255HBT01
255HBT03,Quảng Ngãi,Huyện Ba Tơ,Xã Ba Chùa-255HBT03
255HBT05,Quảng Ngãi,Huyện Ba Tơ,Xã Ba Điền-255HBT05
255HBT07,Quảng Ngãi,Huyện Ba Tơ,Xã Ba Động-255HBT07
255HBT08,Quảng Ngãi,Huyện Ba Tơ,Xã Ba Giang-255HBT08
255HBT09,Quảng Ngãi,Huyện Ba Tơ,Xã Ba Khâm-255HBT09
255HBT10,Quảng Ngãi,Huyện Ba Tơ,Xã Ba Lế-255HBT10
255HBT11,Quảng Ngãi,Huyện Ba Tơ,Xã Ba Liên-255HBT11
255HBT12,Quảng Ngãi,Huyện Ba Tơ,Xã Ba Nam-255HBT12
255HBT13,Quảng Ngãi,Huyện Ba Tơ,Xã Ba Ngạc-255HBT13
255HBT14,Quảng Ngãi,Huyện Ba Tơ,Xã Ba Thành-255HBT14
255HBT17,Quảng Ngãi,Huyện Ba Tơ,Xã Ba Trang-255HBT17
255HBT18,Quảng Ngãi,Huyện Ba Tơ,Xã Ba Vì-255HBT18
255HBT20,Quảng Ngãi,Huyện Ba Tơ,Xã Ba Xa-255HBT20
255HDP03,Quảng Ngãi,Huyện Đức Phổ,Xã Phổ Cường-255HDP03
255HDP04,Quảng Ngãi,Huyện Đức Phổ,Xã Phổ Hòa-255HDP04
255HDP08,Quảng Ngãi,Huyện Đức Phổ,Xã Phổ Phong-255HDP08
255HDP09,Quảng Ngãi,Huyện Đức Phổ,Xã Phổ Quang-255HDP09
255HDP12,Quảng Ngãi,Huyện Đức Phổ,Xã Phổ Văn-255HDP12
255HDP14,Quảng Ngãi,Huyện Đức Phổ,Xã Phổ An-255HDP14
255HLS01,Quảng Ngãi,Huyện Lý Sơn,Xã An Vĩnh-255HLS01
255HLS03,Quảng Ngãi,Huyện Lý Sơn,Xã An Bình-255HLS03
255HMD02,Quảng Ngãi,Huyện Mộ Đức,Xã Đức Chánh-255HMD02
255HMD04,Quảng Ngãi,Huyện Mộ Đức,Xã Đức Hòa-255HMD04
255HMD06,Quảng Ngãi,Huyện Mộ Đức,Xã Đức Lợi-255HMD06
255HMD08,Quảng Ngãi,Huyện Mộ Đức,Xã Đức Nhuận-255HMD08
255HMD09,Quảng Ngãi,Huyện Mộ Đức,Xã Đức Phong-255HMD09
255HMD12,Quảng Ngãi,Huyện Mộ Đức,Xã Đức Thắng-255HMD12
255HMD13,Quảng Ngãi,Huyện Mộ Đức,Xã Đức Thạnh-255HMD13
255HML02,Quảng Ngãi,Huyện Minh Long,Xã Long Mai-255HML02
232HMH08,Quảng Bình,Huyện Minh Hóa,Xã Hồng Hóa-232HMH08
232HMH09,Quảng Bình,Huyện Minh Hóa,Xã Minh Hóa-232HMH09
232HMH10,Quảng Bình,Huyện Minh Hóa,Xã Quy Hóa-232HMH10
232HMH12,Quảng Bình,Huyện Minh Hóa,Xã Thượng Hóa-232HMH12
232HMH13,Quảng Bình,Huyện Minh Hóa,Xã Trọng Hóa-232HMH13
232HMH14,Quảng Bình,Huyện Minh Hóa,Xã Trung Hóa-232HMH14
232HMH16,Quảng Bình,Huyện Minh Hóa,Xã Yên Hóa-232HMH16
232HQN01,Quảng Bình,Huyện Quảng Ninh,Thị trấn Quán Hàu-232HQN01
232HQN03,Quảng Bình,Huyện Quảng Ninh,Xã Duy Ninh-232HQN03
232HQN04,Quảng Bình,Huyện Quảng Ninh,Xã Gia Ninh-232HQN04
232HQN06,Quảng Bình,Huyện Quảng Ninh,Xã Hàm Ninh-232HQN06
232HQN08,Quảng Bình,Huyện Quảng Ninh,Xã Lương Ninh-232HQN08
232HQN10,Quảng Bình,Huyện Quảng Ninh,Xã Trường Sơn-232HQN10
232HQN11,Quảng Bình,Huyện Quảng Ninh,Xã Trường Xuân-232HQN11
232HQN13,Quảng Bình,Huyện Quảng Ninh,Xã Vĩnh Ninh-232HQN13
232HQN14,Quảng Bình,Huyện Quảng Ninh,Xã Võ Ninh-232HQN14
232HQT01,Quảng Bình,Huyện Quảng Trạch,Xã Cảnh Dương-232HQT01
232HQT02,Quảng Bình,Huyện Quảng Trạch,Xã Cảnh Hóa-232HQT02
232HQT04,Quảng Bình,Huyện Quảng Trạch,Xã Quảng Châu-232HQT04
232HQT05,Quảng Bình,Huyện Quảng Trạch,Xã Quảng Đông-232HQT05
232HQT07,Quảng Bình,Huyện Quảng Trạch,Xã Quảng Hưng-232HQT07
232HQT08,Quảng Bình,Huyện Quảng Trạch,Xã Quảng Kim-232HQT08
232HQT10,Quảng Bình,Huyện Quảng Trạch,Xã Quảng Lưu-232HQT10
232HQT12,Quảng Bình,Huyện Quảng Trạch,Xã Quảng Phương-232HQT12
232HQT13,Quảng Bình,Huyện Quảng Trạch,Xã Quảng Thạch-232HQT13
235HNH12,Quảng Nam,Huyện Núi Thành,Xã Tam Giang-235HNH12
235HNH14,Quảng Nam,Huyện Núi Thành,Xã Tam Nghĩa-235HNH14
235HNH15,Quảng Nam,Huyện Núi Thành,Xã Tam Mỹ Đông-235HNH15
235HNH16,Quảng Nam,Huyện Núi Thành,Xã Tam Mỹ Tây-235HNH16
235HNS01,Quảng Nam,Huyện Nông Sơn,Xã Phước Ninh-235HNS01
235HNS02,Quảng Nam,Huyện Nông Sơn,Xã Quế Lâm-235HNS02
235HNS03,Quảng Nam,Huyện Nông Sơn,Xã Quế Lộc-235HNS03
235HNS04,Quảng Nam,Huyện Nông Sơn,Xã Quế Ninh-235HNS04
235HNS07,Quảng Nam,Huyện Nông Sơn,Xã Sơn Viên-235HNS07
235HNT01,Quảng Nam,Huyện Nam Trà My,Xã Trà Cang-235HNT01
235HNT03,Quảng Nam,Huyện Nam Trà My,Xã Trà Dơn-235HNT03
235HNT05,Quảng Nam,Huyện Nam Trà My,Xã Trà Linh-235HNT05
235HNT06,Quảng Nam,Huyện Nam Trà My,Xã Trà Mai-235HNT06
235HNT08,Quảng Nam,Huyện Nam Trà My,Xã Trà Tập-235HNT08
235HNT10,Quảng Nam,Huyện Nam Trà My,Xã Trà Vinh-235HNT10
235HPN02,Quảng Nam,Huyện Phú Ninh,Xã Tam An-235HPN02
235HPN03,Quảng Nam,Huyện Phú Ninh,Xã Tam Đại-235HPN03
235HPN04,Quảng Nam,Huyện Phú Ninh,Xã Tam Dân-235HPN04
235HPN06,Quảng Nam,Huyện Phú Ninh,Xã Tam Lãnh-235HPN06
235HPN08,Quảng Nam,Huyện Phú Ninh,Xã Tam Phước-235HPN08
235HPN10,Quảng Nam,Huyện Phú Ninh,Xã Tam Thành-235HPN10
235HPN11,Quảng Nam,Huyện Phú Ninh,Xã Tam Vinh-235HPN11
235HPS02,Quảng Nam,Huyện Phước Sơn,Xã Phước Chánh-235HPS02
235HPS04,Quảng Nam,Huyện Phước Sơn,Xã Phước Đức-235HPS04
235HPS05,Quảng Nam,Huyện Phước Sơn,Xã Phước Hiệp-235HPS05
235HPS06,Quảng Nam,Huyện Phước Sơn,Xã Phước Hòa-235HPS06
235HPS07,Quảng Nam,Huyện Phước Sơn,Xã Phước Kim-235HPS07
235HPS08,Quảng Nam,Huyện Phước Sơn,Xã Phước Lộc-235HPS08
235HPS09,Quảng Nam,Huyện Phước Sơn,Xã Phước Mỹ-235HPS09
235HPS10,Quảng Nam,Huyện Phước Sơn,Xã Phước Năng-235HPS10
235HPS12,Quảng Nam,Huyện Phước Sơn,Xã Phước Xuân-235HPS12
235HQS01,Quảng Nam,Huyện Quế Sơn,Thị trấn Đông Phú-235HQS01
235HQS04,Quảng Nam,Huyện Quế Sơn,Xã Quế An-235HQS04
235HQS05,Quảng Nam,Huyện Quế Sơn,Xã Quế Châu-235HQS05
235HQS07,Quảng Nam,Huyện Quế Sơn,Xã Quế Hiệp-235HQS07
235HQS08,Quảng Nam,Huyện Quế Sơn,Xã Quế Long-235HQS08
235HQS09,Quảng Nam,Huyện Quế Sơn,Xã Quế Minh-235HQS09
235HQS12,Quảng Nam,Huyện Quế Sơn,Xã Quế Thuận-235HQS12
